document,Statement,itemname,value,memberstring1,instant,StartDate,EndDate
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,1541131,SewageSystem,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,1541131,SewageSystem,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,1572218,SewageSystem,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,AccumulatedDepreciation,1572218,SewageSystem,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,1572218,SewageSystem,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,1572218,SewageSystem,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,13464,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,AccumulatedDepreciation,13464,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,13464,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,13464,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,13464,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,AccumulatedDepreciation,13464,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,13464,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,13464,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,AccumulatedDepreciation,1554595,BusinessTypeActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,1554595,BusinessTypeActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AccumulatedDepreciation,1554595,BusinessTypeActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToAccumulatedDepreciation,23848,GovernmentalActivities,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToAccumulatedDepreciation,31087,BusinessTypeActivities,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToAccumulatedDepreciation,6621,BuildingsAndImprovements,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToAccumulatedDepreciation,5521,Equipment,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToAccumulatedDepreciation,11706,Infrastructure,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToAccumulatedDepreciation,31087,SewageSystem,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToCapitalAssetsAtHistoricalCost,287212,GovernmentalActivities,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToCapitalAssetsAtHistoricalCost,881,BuildingsAndImprovements,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToCapitalAssetsAtHistoricalCost,33900,Equipment,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToCapitalAssetsAtHistoricalCost,252431,Infrastructure,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToCapitalAssetsBeingDepreciatedGross,128660,BusinessTypeActivities,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToCapitalAssetsBeingDepreciatedGross,128660,SewageSystem,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToCapitalAssetsBeingDepreciatedNet,263364,GovernmentalActivities,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToCapitalAssetsBeingDepreciatedNet,97573,BusinessTypeActivities,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,AdditionsToCapitalAssetsDepreciableNetOfAccumulatedDepreciationAndAmortization,263364,GovernmentalActivities,,2018-04-01,2019-03-31
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,Assets,2108410,GovernmentalActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,Assets,2006323,BusinessTypeActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,Assets,4114733,PrimaryGovernmentActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,Assets,1340461,,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,Assets,665862,,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Proprietary Funds Net Position,Assets,2006323,ProprietaryFunds,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Governmental Funds Balance Sheet,AssetsModifiedAccrual,843081,GeneralFund,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Governmental Funds Balance Sheet,AssetsModifiedAccrual,180750,,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Governmental Funds Balance Sheet,AssetsModifiedAccrual,1023831,GovernmentalFunds,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsAtHistoricalCost,911800,GovernmentalActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsAtHistoricalCost,911800,GovernmentalActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsAtHistoricalCost,425301,BuildingsAndImprovements,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsAtHistoricalCost,425301,BuildingsAndImprovements,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsAtHistoricalCost,137976,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsAtHistoricalCost,137976,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsAtHistoricalCost,348523,Infrastructure,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsAtHistoricalCost,348523,Infrastructure,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,1906218,BusinessTypeActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,1906218,BusinessTypeActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,424420,BuildingsAndImprovements,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,424420,BuildingsAndImprovements,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,109104,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,109104,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,96092,Infrastructure,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,96092,Infrastructure,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,629616,GovernmentalActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,629616,GovernmentalActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,1764094,SewageSystem,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,1764094,SewageSystem,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,1892754,SewageSystem,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,1892754,SewageSystem,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,13464,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,13464,Equipment,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,13464,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,13464,Equipment,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,1777558,BusinessTypeActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedGross,1777558,BusinessTypeActivities,2018-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,CapitalAssetsBeingDepreciatedNet,449159,GovernmentalActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedNet,449159,GovernmentalActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedNet,449159,GovernmentalActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,CapitalAssetsBeingDepreciatedNet,320536,BusinessTypeActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedNet,320536,BusinessTypeActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedNet,320536,BusinessTypeActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Statement of Net Position,CapitalAssetsBeingDepreciatedNet,769695,PrimaryGovernmentActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedNet,769695,PrimaryGovernmentActivities,2019-03-31,,
ects/Project-Src/ixbrl/upload/ACFR-XBRL-US-20190331-Annual-Accounts-1.htm,Capital Assets Footnote,CapitalAssetsBeingDepreciatedNet,769695,PrimaryGovernmentActivities,2019-03-31,,
